Region,Año,Hombre,Mujer,Total
Castilla - La Mancha (CM),2018,38.93,48.86,43.32
Cataluña (CT),2018,29.57,25.44,27.66
Comunitat Valenciana (VC),2018,35.5,32.84,34.3
Extremadura (EX),2018,43.96,50.33,46.62
Galicia (GA),2018,30.65,34.66,32.48
"Madrid, Comunidad de (MD)",2018,30.14,24.65,27.49
"Murcia, Región de (MC)",2018,39.63,36.35,38.19
"Navarra, C. Foral de (NC)",2018,27.03,25.19,26.19
País Vasco (PV),2018,25.15,26.5,25.75
La Rioja (RI),2018,25.77,25.18,25.49
Ceuta (CE),2018,58.43,65.31,62.35
Melilla (ML),2018,61.72,73.67,66.1
