Region,id
España (ES),1
Andalucía (AN),2
Aragón (AR),3
"Asturias, Principado de (AS)",4
"Balears, Illes (IB)",5
Canarias (CN),6
Cantabria (CB),7
Castilla y León (CL),8
Castilla - La Mancha (CM),9
Cataluña (CT),10
Comunitat Valenciana (VC),11
Extremadura (EX),12
Galicia (GA),13
"Madrid, Comunidad de (MD)",14
"Murcia, Región de (MC)",15
"Navarra, C. Foral de (NC)",16
País Vasco (PV),17
La Rioja (RI),18
Ceuta (CE),19
Melilla (ML),20
